SalesOrderID,Customer ID,Item ID, Items in the basket,Total price,multiple size of same item,Multiple color of same item,price,use of discount vouchers,Including freebies with order,payment method,Serial  returner,Return
500000000,100000000,HT-1000,3,100,1,0,40,0,0,1,1,1
500000000,100000000,HT-1001,3,100,1,0,40,0,0,1,1,1
500000000,100000000,HT-1002,3,100,0,0,20,1,0,1,1,0
500000001,100000003,HT-1003,4,78,0,0,15,1,1,0,0,0
500000001,100000003,HT-1007,4,78,0,0,23,0,1,0,0,1
500000001,100000003,HT-1010,4,78,1,0,20,1,1,0,0,1
500000001,100000003,HT-1011,4,78,1,0,20,1,1,0,0,0
500000003,100000004,HT-1020,1,65,0,0,65,0,0,1,0,0
500000004,100000002,HT-1021,2,140,1,0,70,0,0,1,1,0
500000004,100000002,HT-1022,2,140,1,0,70,0,0,1,1,1
500000005,100000007,HT-1023,5,513,0,1,135,1,1,1,0,0
500000005,100000007,HT-1030,5,513,0,1,135,1,1,1,0,0
500000005,100000007,HT-1031,5,513,0,1,135,1,1,1,0,0
500000005,100000007,HT-1032,5,513,0,0,45,1,1,1,0,0
500000005,100000007,HT-1035,5,513,0,0,63,1,1,1,0,0
500000006,100000008,HT-1036,2,200,1,0,100,0,0,0,0,0
500000006,100000008,HT-1037,2,200,1,0,100,0,0,0,0,1
500000007,100000009,HT-1040,1,60,0,0,60,0,0,0,0,0
500000008,100000010,HT-1041,1,34,0,0,34,0,1,0,0,0
500000009,100000011,HT-1042,3,189,1,0,63,0,0,1,1,1
500000009,100000011,HT-1050,3,189,1,0,63,0,0,1,1,1
500000009,100000011,HT-1051,3,189,1,0,63,0,0,1,1,0
500000010,100000012,HT-1052,2,307,0,0,73,1,1,1,1,0
500000010,100000012,HT-1055,2,307,0,0,234,1,1,1,1,1
500000011,100000013,HT-1056,1,54,0,0,54,0,0,1,1,1
500000012,100000014,HT-1060,1,64,0,0,64,0,0,0,0,0
500000013,100000015,HT-1061,5,810,1,0,234,0,0,1,0,0
500000013,100000015,HT-1062,5,810,1,0,234,0,0,1,0,1
500000013,100000015,HT-1063,5,810,1,0,234,0,0,1,0,1
500000013,100000015,HT-1064,5,810,0,1,54,0,0,1,0,0
