SALESORDERID,SALESORDERITEM,PRODUCTID,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,QUANTITY,DELIVERYDATE
500000000,10,HT-1000,1137.64,956,181.64,I,1,2014-12-04
500000000,20,HT-1001,2972.62,2498,474.62,I,2,2014-12-04
500000000,30,HT-1002,3736.6,3140,596.6,I,2,2014-12-04
500000000,40,HT-1003,3927,3300,627,I,2,2014-12-04
500000000,50,HT-1007,1781.43,1497,284.43,I,3,2014-12-04
500000000,60,HT-1010,4757.62,3998,759.62,I,2,2014-12-04
500000000,70,HT-1011,5471.62,4598,873.62,I,2,2014-12-04
500000000,80,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000000,90,HT-1031,1017.45,855,162.45,I,3,2014-12-04
500000000,100,HT-1032,1231.65,1035,196.65,I,3,2014-12-04
500000001,10,HT-1030,547.4,460,87.4,I,2,2014-12-04
500000001,20,HT-1031,339.15,285,54.15,I,1,2014-12-04
500000001,30,HT-1032,821.1,690,131.1,I,2,2014-12-04
500000001,40,HT-1035,949.62,798,151.62,I,2,2014-12-04
500000001,50,HT-1036,1023.4,860,163.4,I,2,2014-12-04
500000001,60,HT-1037,3403.4,2860,543.4,I,2,2014-12-04
500000001,70,HT-1020,460.53,387,73.53,I,3,2014-12-04
500000001,80,HT-1021,531.93,447,84.93,I,3,2014-12-04
500000001,90,HT-1022,487.9,410,77.9,I,2,2014-12-04
500000001,100,HT-1023,853.23,717,136.23,I,3,2014-12-04
500000002,10,HT-1040,2963.1,2490,473.1,I,3,2014-12-04
500000002,20,HT-1041,583.1,490,93.1,I,1,2014-12-04
500000002,30,HT-1042,830.62,698,132.62,I,2,2014-12-04
500000002,40,HT-1050,330.82,278,52.82,I,2,2014-12-04
500000002,50,HT-1051,117.81,99,18.81,I,1,2014-12-04
500000002,60,HT-1052,404.6,340,64.6,I,2,2014-12-04
500000002,70,HT-1055,117.81,99,18.81,I,1,2014-12-04
500000002,80,HT-1056,283.22,238,45.22,I,2,2014-12-04
500000003,10,HT-1073,85.68,72,13.68,I,3,2014-12-04
500000003,20,HT-1080,182.07,153,29.07,I,3,2014-12-04
500000003,30,HT-1081,317.73,267,50.73,I,3,2014-12-04
500000003,40,HT-1082,201.11,169,32.11,I,1,2014-12-04
500000003,50,HT-1083,618.8,520,98.8,I,1,2014-12-04
500000004,10,HT-1100,213.96,179.8,34.16,I,2,2014-12-04
500000004,20,HT-1101,95.08,79.9,15.18,I,1,2014-12-04
500000004,30,HT-1102,164.22,138,26.22,I,2,2014-12-04
500000004,40,HT-1103,91.63,77,14.63,I,1,2014-12-04
